,Search Trends,close
2016-06-01 09:00:00,6.0,135.16
2016-06-01 10:00:00,12.0,136.63
2016-06-01 11:00:00,22.0,136.56
2016-06-01 12:00:00,33.0,136.42
2016-06-01 13:00:00,40.0,136.1
2016-06-01 14:00:00,45.0,137.03
2016-06-01 15:00:00,48.0,136.27
2016-06-02 09:00:00,7.0,136.0
2016-06-02 10:00:00,14.0,136.83
2016-06-02 11:00:00,24.0,136.22
2016-06-02 12:00:00,35.0,136.5
2016-06-02 13:00:00,42.0,136.54
2016-06-02 14:00:00,47.0,136.54
2016-06-02 15:00:00,51.0,136.98
2016-06-03 09:00:00,7.0,136.01
2016-06-03 10:00:00,14.0,135.71
2016-06-03 11:00:00,24.0,134.4
2016-06-03 12:00:00,35.0,134.94
2016-06-03 13:00:00,42.0,134.8
2016-06-03 14:00:00,48.0,136.0
2016-06-03 15:00:00,51.0,135.64
2016-06-06 09:00:00,6.0,137.4
2016-06-06 10:00:00,11.0,137.98
2016-06-06 11:00:00,22.0,137.84
2016-06-06 12:00:00,34.0,138.14
2016-06-06 13:00:00,41.0,138.88
2016-06-06 14:00:00,48.0,138.73
2016-06-06 15:00:00,53.0,138.25
2016-06-07 09:00:00,6.0,138.09
2016-06-07 10:00:00,13.0,138.18
2016-06-07 11:00:00,25.0,139.21
2016-06-07 12:00:00,36.0,139.04
2016-06-07 13:00:00,44.0,140.15
2016-06-07 14:00:00,47.0,140.27
2016-06-07 15:00:00,53.0,138.47
2016-06-08 09:00:00,7.0,136.88
2016-06-08 10:00:00,13.0,135.96
2016-06-08 11:00:00,24.0,136.01
2016-06-08 12:00:00,35.0,136.38
2016-06-08 13:00:00,42.0,136.25
2016-06-08 14:00:00,47.0,136.86
2016-06-08 15:00:00,51.0,136.96
2016-06-09 09:00:00,7.0,136.415
2016-06-09 10:00:00,13.0,136.93
2016-06-09 11:00:00,24.0,136.27
2016-06-09 12:00:00,35.0,136.09
2016-06-09 13:00:00,41.0,136.99
2016-06-09 14:00:00,47.0,136.8
2016-06-09 15:00:00,51.0,137.45
2016-06-10 09:00:00,7.0,136.34
2016-06-10 10:00:00,13.0,136.49
2016-06-10 11:00:00,24.0,136.64
2016-06-10 12:00:00,35.0,136.13
2016-06-10 13:00:00,41.0,135.74
2016-06-10 14:00:00,47.0,134.42
2016-06-10 15:00:00,50.0,134.3
2016-06-13 09:00:00,6.0,134.65
2016-06-13 10:00:00,11.0,134.58
2016-06-13 11:00:00,21.0,134.17
2016-06-13 12:00:00,34.0,134.07
2016-06-13 13:00:00,41.0,134.03
2016-06-13 14:00:00,48.0,134.09
2016-06-13 15:00:00,52.0,133.25
2016-06-14 09:00:00,6.0,134.65
2016-06-14 10:00:00,13.0,132.26
2016-06-14 11:00:00,24.0,133.85
2016-06-14 12:00:00,35.0,133.92
2016-06-14 13:00:00,42.0,133.565
2016-06-14 14:00:00,47.0,133.525
2016-06-14 15:00:00,51.0,134.48
2016-06-15 09:00:00,6.0,134.78
2016-06-15 11:00:00,23.0,134.85
2016-06-15 12:00:00,34.0,134.59
2016-06-15 13:00:00,41.0,134.27
2016-06-15 14:00:00,46.0,135.1
2016-06-15 15:00:00,50.0,133.77
2016-06-16 09:00:00,6.0,131.83
2016-06-16 10:00:00,13.0,131.48
2016-06-16 11:00:00,23.0,133.09
2016-06-16 12:00:00,33.0,134.75
2016-06-16 13:00:00,39.0,134.2
2016-06-16 15:00:00,48.0,135.42
2016-06-17 09:00:00,6.0,134.58
2016-06-17 10:00:00,10.0,134.9
2016-06-17 11:00:00,18.0,134.48
2016-06-17 12:00:00,30.0,134.17
2016-06-17 13:00:00,36.0,134.48
